/Users/vladislavkalinichenko/VSCodeProjects/T-Lab Contests/mechanistic-interpretability/.venv/lib/python3.12/site-packages/transformer_lens/config/hooked_transformer_config.py:383: UserWarning: MPS backend may produce silently incorrect results (PyTorch 2.13.0). Set TRANSFORMERLENS_ALLOW_MPS=1 to suppress this warning. See: https://github.com/TransformerLensOrg/TransformerLens/issues/1178
  warn_if_mps(self.device)
Loading weights:   0%|          | 0/148 [00:00<?, ?it/s]Loading weights: 100%|██████████| 148/148 [00:00<00:00, 3863.94it/s]
Loaded pretrained model gpt2 into HookedTransformer
    none alpha=   0.0  ppl=   15.27  d2=0.921  concept=0.000
    none alpha=  10.0  ppl=   15.47  d2=0.936  concept=0.182
    none alpha=  20.0  ppl=   15.77  d2=0.908  concept=0.000
    none alpha=  40.0  ppl=   22.15  d2=0.923  concept=0.197
    none alpha=  80.0  ppl=   84.06  d2=0.891  concept=0.192
    none alpha= 160.0  ppl=  917.82  d2=0.983  concept=0.000
     mse alpha=   0.0  ppl=   15.77  d2=0.921  concept=0.000
     mse alpha=  10.0  ppl=   15.95  d2=0.929  concept=0.382
     mse alpha=  20.0  ppl=   16.18  d2=0.917  concept=0.000
     mse alpha=  40.0  ppl=   21.74  d2=0.931  concept=0.840
     mse alpha=  80.0  ppl=   77.26  d2=0.899  concept=0.000
     mse alpha= 160.0  ppl=  914.87  d2=0.983  concept=0.000
glp_t0.2 alpha=   0.0  ppl=   16.52  d2=0.945  concept=0.000
glp_t0.2 alpha=  10.0  ppl=   16.25  d2=0.937  concept=0.000
glp_t0.2 alpha=  20.0  ppl=   15.70  d2=0.940  concept=0.215
glp_t0.2 alpha=  40.0  ppl=   20.65  d2=0.912  concept=0.611
glp_t0.2 alpha=  80.0  ppl=   64.10  d2=0.893  concept=0.847
glp_t0.2 alpha= 160.0  ppl= 1033.46  d2=0.987  concept=0.000
glp_t0.35 alpha=   0.0  ppl=   17.22  d2=0.922  concept=0.000
glp_t0.35 alpha=  10.0  ppl=   18.10  d2=0.941  concept=0.181
glp_t0.35 alpha=  20.0  ppl=   18.78  d2=0.943  concept=0.019
glp_t0.35 alpha=  40.0  ppl=   22.56  d2=0.937  concept=0.000
glp_t0.35 alpha=  80.0  ppl=   72.37  d2=0.920  concept=1.772
glp_t0.35 alpha= 160.0  ppl= 1333.61  d2=0.985  concept=1.222
glp_t0.5 alpha=   0.0  ppl=   19.03  d2=0.912  concept=0.000
glp_t0.5 alpha=  10.0  ppl=   20.23  d2=0.909  concept=0.000
glp_t0.5 alpha=  20.0  ppl=   20.51  d2=0.920  concept=0.000
glp_t0.5 alpha=  40.0  ppl=   23.30  d2=0.917  concept=0.000
glp_t0.5 alpha=  80.0  ppl=   98.98  d2=0.943  concept=1.429
glp_t0.5 alpha= 160.0  ppl= 2119.37  d2=0.931  concept=9.261
-> runs/pareto_sae27677.json
/Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/multiprocessing/resource_tracker.py:279: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '
